Report Number,Report Date,Occur Date,Occur Time,Possible Date,Possible Time,Beat,Apartment Office Prefix,Apartment Number,Location,Shift Occurrence,Location Type,UCR Literal,UCR #,IBR Code,Neighborhood,NPU,Latitude,Longitude
200010442,2020-01-01,2020-01-01,0215,2020-01-01,0220,206,,,3182 ROSWELL RD NW,Morning Watch,3,LARCENY-NON VEHICLE,0610,2301,South Tuxedo Park,B,33.842149999999997,-84.379679999999993
200010276,2020-01-01,2019-12-31,1929,2020-01-01,0100,507,,,360 MARIETTA ST NW @MBS LOT G,Evening Watch,18,LARCENY-FROM VEHICLE,0640,2305,Downtown,M,33.762689999999999,-84.397019999999998
200010320,2020-01-01,2019-12-31,1900,2020-01-01,0115,511,,,46 WALL ST SE,Evening Watch,18,LARCENY-FROM VEHICLE,0640,2305,Downtown,M,33.753120000000003,-84.388760000000005
200010343,2020-01-01,2019-12-31,2045,2020-01-01,0130,211,,,2285 PEACHTREE RD NE,Unknown,18,LARCENY-FROM VEHICLE,0640,2305,,E,33.816369999999999,-84.389539999999997
200010404,2020-01-01,2019-12-31,1730,2020-01-01,0200,603,,,650 NORTH AVE NE,Evening Watch,18,LARCENY-FROM VEHICLE,0640,2305,Old Fourth Ward,M,33.771210000000004,-84.364779999999996
200010521,2020-01-01,2019-12-31,2300,2020-01-01,0200,507,,,229 WALKER ST SW,Morning Watch,18,LARCENY-FROM VEHICLE,0640,2305,Castleberry Hill,M,33.748510000000003,-84.402810000000002
200010645,2020-01-01,2020-01-01,0100,2020-01-01,0409,506,,,852 PROCTOR ST NW,Morning Watch,13,LARCENY-FROM VEHICLE,0640,2305,English Avenue,L,33.76482,-84.415300000000002
200010843,2020-01-01,2019-12-31,2300,2020-01-01,0803,501,,,990 BRADY AVE NW,Day Watch,18,LARCENY-FROM VEHICLE,0640,2305,Home Park,E,33.782249999999998,-84.413910000000001
200010889,2020-01-01,2019-12-24,1800,2019-12-27,0900,602,,,1094 ALTA AVE NE,Day Watch,20,LARCENY-FROM VEHICLE,0640,2305,Inman Park,N,33.761139999999997,-84.351929999999996
200010927,2020-01-01,2020-01-01,0903,2020-01-01,0956,107,,,568 CHAPPELL RD NW,Day Watch,23,LARCENY-FROM VEHICLE,0640,2305,Grove Park,J,33.77075,-84.434070000000006
200010941,2020-01-01,2019-12-31,1900,2020-01-01,1011,304,,,56 ORMOND ST SW,Day Watch,13,LARCENY-FROM VEHICLE,0640,2305,Peoplestown,V,33.731580000000001,-84.389750000000006
200010947,2020-01-01,2019-12-31,1900,2020-01-01,0900,613,,,1346 AVALON PL NE,Day Watch,20,LARCENY-FROM VEHICLE,0640,2305,Morningside/Lenox Park,F,33.791359999999997,-84.352010000000007
200011105,2020-01-01,2019-12-31,0615,2020-01-01,1220,206,,,3005 PEACHTREE RD NE,Day Watch,,LARCENY-FROM VEHICLE,0640,2305,Garden Hills,B,33.836829999999999,-84.381169999999997
200011223,2020-01-01,2020-01-01,1150,2020-01-01,1330,602,,,465 N HIGHLAND AVE NE,Day Watch,21,LARCENY-FROM VEHICLE,0640,2305,Inman Park,N,33.766800000000003,-84.352800000000002
200011262,2020-01-01,2020-01-01,0000,2020-01-01,0400,111,,,3455 MARTIN L KING JR DR NW,Evening Watch,18,LARCENY-FROM VEHICLE,0640,2305,Adamsville,H,33.756430000000002,-84.500600000000006
200011336,2020-01-01,2019-12-31,1700,2020-01-01,1517,607,,,1089 EDEN AVE SE,Evening Watch,,LARCENY-FROM VEHICLE,0640,2305,Ormewood Park,W,33.729900000000001,-84.352059999999994
200011678,2020-01-01,2019-01-01,1800,2019-01-01,1850,607,,,1006 CUSTER AVE SE,Evening Watch,13,LARCENY-FROM VEHICLE,0640,2305,Custer/McDonough/Guice,W,33.717199999999998,-84.355779999999996
200011768,2020-01-01,2020-01-01,1900,2020-01-01,1954,612,,,560 GRESHAM AVE SE,Evening Watch,13,LARCENY-FROM VEHICLE,0640,2305,East Atlanta,W,33.739420000000003,-84.345640000000003
200011783,2020-01-01,2020-01-01,2001,2020-01-01,2010,206,,,345 PHARR RD ,Evening Watch,,LARCENY-FROM VEHICLE,0640,2305,Garden Hills,B,33.836669999999998,-84.376660000000001
200011806,2020-01-01,2019-12-31,2320,2020-01-01,2000,207,,,1700 NORTHSIDE DR NW,Evening Watch,18,LARCENY-FROM VEHICLE,0640,2305,Berkeley Park,D,33.80077,-84.408690000000007
200011808,2020-01-01,2020-01-01,1940,2020-01-01,2000,209,,,3802 ROSWELL RD NE,Evening Watch,18,LARCENY-FROM VEHICLE,0640,2305,East Chastain Park,B,33.858649999999997,-84.381020000000007
200011826,2020-01-01,2020-01-01,1850,2020-01-01,2020,503,,,1125 PEACHTREE ST,Evening Watch,18,LARCENY-FROM VEHICLE,0640,2305,Midtown,E,33.785150000000002,-84.382670000000005
200011829,2020-01-01,2020-01-01,1330,2020-01-01,1930,501,,,420 14TH ST NW,Evening Watch,18,LARCENY-FROM VEHICLE,0640,2305,Home Park,E,33.78593,-84.400859999999994
200011844,2020-01-01,2020-01-01,1800,2020-01-01,2030,206,,,250 PHARR RD NE,Evening Watch,,LARCENY-FROM VEHICLE,0640,2305,Buckhead Village,B,33.837319999999998,-84.378600000000006
200011569,2020-01-01,2020-01-01,0100,2020-01-01,0600,207,,,2143 PEACHTREE RD NE,Morning Watch,18,LARCENY-FROM VEHICLE,0640,2305,,E,33.812620000000003,-84.391949999999994
200011628,2020-01-01,2020-01-01,1800,2020-01-01,1830,101,,,844 MARTIN L KING JR DR SW,Evening Watch,13,LARCENY-FROM VEHICLE,0640,2305,Atlanta University Center,T,33.75461,-84.415549999999996
